word,counts
BO,13487
URB,5106
DE,3355
LA,2657
SECTOR,2186
LOS,2156
DEL,2030
URB.,1964
SECT,1915
BO.,1742
EL,1653
COND,1611
SEC,1511
SAN,1449
VILLA,1426
LAS,1410
RIO,1142
PARC,877
SANTA,787
PAR,690
ARRIBA,656
II,588
VISTA,587
CALLE,563
VILLAS,555
BZN,538
SABANA,529
EXT,514
ABAJO,513
MONTE,489
HATO,460
QUEBRADA,429
2,425
RES,424
JARDINES,420
CERRO,419
/,419
VALLE,406
ESTANCIAS,405
RUTA,390
COM,386
PARQUE,378
ALTO,376
PARCELAS,373
GRANDE,370
MAR,367
CEIBA,359
I,357
NUEVO,353
1,347
VERDE,342
CAMINO,342
JUAN,327
REAL,322
ALTURAS,321
ROSA,307
ARENAS,289
BRISAS,286
HACIENDA,280
BUENA,276
PASEO,275
STA,271
PLAZA,261
PARK,258
QDA,257
-,256
CARR,250
GORDO,243
COLINAS,243
LLANOS,243
BDA,243
SUR,239
3,235
LOMAS,231
NUEVAS,226
PALMAS,225
GARDENS,225
ALTA,223
NORTE,220
VEGA,219
CAMPO,217
SIERRA,216
TEJAS,214
PUB,210
A,210
BORINQUEN,208
RES.,204
PUEBLO,201
APTS,199
SOL,198
PLAYA,195
VISTAS,187
BAJO,187
PIEDRAS,186
SOLAR,186
PLATA,182
CRUZ,182
REPTO,182
HILLS,179
CIUDAD,179
JOSE,178
ALEGRE,178
PALMA,177
RL,174
4,170
ANTONIO,168
QUINTAS,167
MANSIONES,167
BAJA,167
GUARAGUAO,167
CUPEY,166
TORRES,164
COND.,163
INT,161
MAMEY,160
PARC.,160
LOMA,159
APT,157
CENTRO,154
CUCHILLAS,152
LAJAS,151
HOYOS,149
REPARTO,149
III,149
MARIA,147
CASA,146
VIEJO,144
DORADO,142
COURT,141
FLORIDA,140
COLLORES,140
PASTO,135
CLUB,134
CANAS,134
BARRIO,133
LOPEZ,130
RINCON,129
NARANJO,127
BAYAMON,127
VIEW,126
PALMAREJO,126
COSTA,126
PUENTE,124
CAIMITO,123
BOSQUE,122
CASTRO,122
C,122
FLORES,121
RIVERA,120
SALTOS,119
MOROVIS,119
CEDRO,118
MAMEYES,118
BEATRIZ,118
MARIAS,118
JARD,117
CAM,117
HACIENDAS,116
HONDO,115
Urb.,115
ESQ,114
PR,113
PINAS,113
VILLAGE,112
CHALETS,112
PIEDRA,112
CAROLINA,112
MONTONES,112
JARDIN,111
JAGUEY,111
HOYO,111
CANDELARIA,110
NUM,110
ROSARIO,110
BUZON,107
MARIANA,107
REY,107
CARMEN,106
PALMAR,105
TORRE,104
PEDRO,103
B,103
PARAISO,102
PUERTO,101
CACAO,101
SANTANA,100
PALO,99
NO,99
BOQUERON,98
TOMAS,97
COMUNIDAD,96
PUNTA,95
ALTOS,95
JACANAS,95
VEGAS,94
LAGO,94
5,94
PEREZ,93
ORTIZ,93
MINILLAS,92
BASE,92
ELENA,92
EDIF,91
BLANCAS,90
DOS,89
SALTO,89
JAGUAS,89
AIBONITO,89
JUNCOS,88
FINAL,88
RAMOS,88
BLANCA,87
LUIS,87
LIMON,86
ESPERANZA,86
COUNTRY,86
CARRAIZO,86
CUESTA,85
PENA,85
BAIROA,85
MIRADERO,85
ZONA,84
LAGUNA,84
PARCELA,82
CARIBE,82
VALLEY,82
GARDEN,81
VALLES,81
LIRIOS,81
COTTO,81
BDA.,81
ESPINO,80
PASEOS,80
MONTELLANO,80
VIEJAS,80
LORENZO,78
CAPARRA,78
ISLOTE,78
MARTIN,78
VALENCIANO,78
VER,77
ROBLES,77
BEACH,77
ANA,76
POZAS,76
TOA,76
BLANCO,76
PLAYITA,75
JAGUEYES,75
CANDELERO,75
V,74
RABANAL,74
11,74
TURABO,73
MONSERRATE,73
CUCHILLA,73
CARRIZALES,73
R,73
NUEVA,73
AFUERA,72
ESPINOSA,72
CJN,72
QUEBRADILLAS,72
URBANO,71
ALT,71
DIAZ,70
MARINA,70
LINDA,70
CALABAZAS,70
CAPA,70
MAGUAYO,69
SANTIAGO,69
OLAYA,69
COTO,69
EST,69
FRAILES,69
PUGNADO,68
HIGUILLAR,68
FRANCISCO,68
TORRIMAR,68
CAGUAS,67
P,67
APARTMENTS,67
COMBATE,67
INDUSTRIAL,66
CRUCES,66
CONDOMINIO,66
DOMINGO,66
BELLA,66
ADENTRO,66
D,66
S,65
MIRAMAR,65
AGUACATE,65
PILETAS,65
CALLEJON,65
RAYO,65
JOBOS,64
RUIZ,64
SECO,64
LLANO,64
E,64
PALMARITO,64
MIRAFLORES,64
THE,64
PINOS,64
ASOMANTE,64
Bo.,64
undefined,63
JIMENEZ,63
ESTATES,63
ATALAYA,63
ANGELES,63
POBRE,63
RITA,62
MIGUEL,62
GARCIA,62
PASO,62
HILL,62
ALGARROBO,62
ESTE,62
CALLES,62
ROCHA,62
SOLARES,62
CENTRAL,61
15-12,61
AIRES,61
BELLO,60
FACTOR,60
Sector,60
BUENOS,60
OCEAN,60
ARECIBO,60
TERRAZAS,59
VEREDAS,59
LOIZA,59
TIERRAS,58
HATILLO,58
GOLDEN,58
MAYAGUEZ,58
BOTIJAS,58
FINCA,58
MORALES,58
MONTEBELLO,58
GUERRERO,58
CABO,57
BOCAS,57
ESTANCIA,57
ED,57
AVE,57
SCTR,57
BARROS,57
T,57
GUAYNABO,57
RETIRO,57
SOLA,57
COAMO,56
ISABEL,56
BARBARA,56
ANONES,56
RODRIGUEZ,55
AZUL,55
DAVILA,55
M,55
GURABO,55
HEIGHTS,55
PITAHAYA,54
CATALINA,54
REALES,54
TANAMA,54
6,54
8,54
TUNA,54
SANCHEZ,53
BARRANCAS,53
DONA,53
CONDADO,53
CLARA,53
GONZALEZ,53
HUMACAO,53
MANA,52
ENTRADA,52
CASCO,52
CUEVAS,52
VOLADORAS,52
RAFAEL,52
ESCORIAL,52
CAMUY,52
Y,52
COCOS,52
YEGUADA,52
VIVI,52
CALLEJONES,51
PRADERAS,51
CAMASEYES,51
COL,51
PORTALES,51
ORO,51
SANTO,51
H,51
TERRACE,51
PRA,51
9,50
RESIDENCIAL,50
PADILLA,50
CIBUCO,50
GUZMAN,50
AVE.,50
GLORIA,50
PRADO,50
MIRADOR,50
MARIN,50
FRONTON,49
SONADORA,49
GALATEO,49
LADO,49
SECT.,49
CAPILLA,49
PAJAROS,49
CARLOS,48
BZ,48
CANABONCITO,48
QUEMADO,48
CIENAGA,48
7,48
J,48
ARENA,48
PORTAL,48
BUCARABONES,47
PATRICIO,47
PRIETO,47
CANTERA,47
RÍO,47
RIVER,47
GUANAJIBO,47
TOITA,47
TRUJILLO,47
VERDES,47
TOWERS,47
RICO,46
CUBUY,46
ARROYO,46
DOMINGUITO,46
EXT.,46
JAGUAL,46
CAPAEZ,46
JUANITA,46
HONDA,46
DIEGO,46
SALINAS,46
ENCANTADA,46
COCO,46
MARICAO,45
CARMELITA,45
TERESITA,45
VAZQUEZ,45
CTAL,45
ROJO,45
COQUI,45
SANTOS,45
REINA,45
ANTON,45
CAR,44
ALMIRANTE,44
PTO,44
PALOMAS,44
FUENTE,44
CAMARONES,44
ARENALES,44
PONCE,44
SECA,44
LLANA,44
LEVITTOWN,44
CANTA,44
JUANA,44
MENDEZ,44
CAROLINAS,43
TRES,43
CAIMITAL,43
CIBAO,43
MEMBRILLO,43
TOWER,43
CAMBALACHE,43
REYES,43
DUEY,43
GORDA,43
NIEVES,43
CAONILLAS,43
GALLERA,43
GARROCHALES,43
IND,42
BAHIA,42
VISTAMAR,42
LARES,42
PUEBLITO,42
BAUTA,42
SAB,42
COLON,42
DUQUE,42
MARTINEZ,41
BAYANEY,41
HERNANDEZ,41
MUNIZ,41
MARQUEZ,41
F,41
