word,counts
URB.,1964
BO.,1742
/,419
-,256
RES.,204
COND.,163
PARC.,160
Urb.,115
BDA.,81
Bo.,64
15-12,61
AVE.,50
SECT.,49
EXT.,46
CARR.,37
REP.,34
SEC.,32
Res.,28
COM.,26
IND.,25
STA.,20
EST.,17
APTO.,17
JARD.,16
ARRIBA/SECT,15
GORDO/SECT,15
PAR.,15
15-12**,15
ALT.,14
CENT.,13
NUEVO/SECT,13
MANS.,12
15-12*,12
SUMIDERO/SECT,11
GUARAGUAO/SEC,11
/LOS,11
/SECT,10
ARRIBA-SECT,10
MINILLAS/SECT,10
GUARAGUAO/SECT,9
BO.CERRO,9
GORDO/SEC,9
REPTO.,9
Parc.,9
BO.PUEBLO,9
QDA.,8
/SECTOR,8
"NUEVO,",8
#,8
SEC.LOS,8
APTS.,8
CAMARONES/SECT,8
#2,8
R-041,8
"LAJAS,",8
/SEC,8
M.,7
ABAJO/SEC,7
R-006,7
SECT.LOS,7
ABAJO-SECT,7
R-057,7
"ABAJO,",7
JAGUAL/SECTOR,7
R-068,7
"POZAS,",7
"VERDE,",7
#1,7
A-1,7
ALTO/,6
ARENAS/SECT,6
BEATRIZ/SECT,6
URB.LAS,6
I/SEC,6
GRANDE/SECT,6
R-020,6
QUEBRADA/SECT,6
ABAJO/SECT,6
"CAGUANA,",6
-LA,6
ARRIBA-SEC,6
Bda.,6
BO.CAIMITAL,6
FLO.,6
VISTA/SEC,6
BO.PIEDRAS,6
ESQ.,6
BO.CRUCES,6
URB.ESTANCIAS,6
I/SECT,6
N.,5
"ORTIZ,",5
RITA/SECT,5
Cond.,5
R-046,5
/BO,5
ARRIBA/LOS,5
R-071,5
INT.,5
MAMEY/SECT,5
ABAJO/LOS,5
Carr.,5
ABAJO-,5
-SECT,5
OLAYA/SECTOR,5
CAM.,5
CANABONCITO/SEC,5
DAJAOS/SECT,5
SUMIDERO/LA,5
SUMIDERO/SECTOR,5
CANAS/SECTOR,5
BO.QUEBRADA,5
P-2,5
BO.RIO,5
CANABONCITO/SECTOR,5
R-055,5
CARRIZALES/SECT,5
ARRIBA/,5
"REAL,",5
1/SECT,5
NO.,5
NUM.,5
",",5
URB.VILLAS,5
"NUEVAS,",5
PUEBLO/CALLE,5
NUEVO-EL,5
"I,",4
"TANAMA,",4
JAGUAS/SECTOR,4
J.,4
ARRIBA/SECTOR,4
URB.VILLA,4
CUCHILLAS/SECT,4
TEJAS-LOS,4
MONTES/MONTE,4
ARRIBA/SEC,4
GUARAGUAO/SECTOR,4
ABAJO/LA,4
GORDO/LOS,4
VISTA/SECT,4
VISTA/CUESTA,4
MAMEYES-SECT,4
"PLATA,",4
R-012,4
ATALAYA/SECT,4
URB.OLIMPIC,4
2/SECT,4
HINCADO-SECT,4
"QUEBRADILLAS,",4
SABANA-LA,4
VEGUITAS-SECT,4
R-018,4
"PALMERAS,",4
6.3,4
CORCOVADA/EL,4
QUEBRADA/SECTOR,4
#5,4
R-088,4
Rep.,4
OLAYA/SEC,4
C.,4
ARENAS/SECTOR,4
/EL,4
"II,",4
MARIAS/SECT,4
ALTO/VILLA,4
ANTONIO/SEC,4
LAJAS/SECT,4
R-021,4
RL-29058,4
"ALTO,",4
ANTONIO/SUR,4
RL-27024,4
CAMASEYES/VILLAS,4
R-017,4
COL.,4
ANTONIO/SECT,4
1.2,4
II/LOS,4
ANGELES-SECT,4
SONADORA/SECT,4
CANABONCITO/SECT,4
ARENAS-,4
R-050,4
-VILLA,4
GRANDE/,4
R-069,4
AGUACATE-COMUNA,4
CENTRO/SEC,4
R-067,4
#4,4
URB.QUINTAS,4
"ESPERANZA,",4
R-028,4
"ALTA,",4
T.,4
R.,4
Com.,4
BO.LIRIOS,4
ABAJO/,3
OLAYA/SECT,3
BO.CORRALES,3
PATRICIO/SECT,3
"MAR,",3
COCOS/CJN,3
BAJO/SECT,3
/LA,3
B-9,3
TANAMA-SECT,3
RINCON/SECT,3
BO.BUENA,3
BO.SANTA,3
CAMASEYES/PASEO,3
CAGUITAS/SECT,3
"CAMASEYES,",3
SECT.LA,3
GUAJATACA/SECT,3
ARENAS-SEC,3
BO.LA,3
GUARAGUAO/VILLA,3
"TUNA,",3
JACANA/R-208,3
CANABONCITO/HORMIGAS,3
ALTA/SECT,3
MULAS/SECTOR,3
GARZAS-SECT,3
PLATA/BO,3
CARRIZALES/CALLE,3
II/SEC,3
MINILLAS/SEC,3
RL-27033,3
"QUEBRADA,SECTOR",3
V.A.,3
MARIAS/,3
PUEBLO/SECT,3
ARRIBA-SECTOR,3
GARD.,3
ANTONIO/LAS,3
15.12,3
TETUAN-SECT,3
URB.EL,3
LLANOS/VALLE,3
URB.BRISAS,3
REAL/BO,3
BLANCAS/,3
15.12**,3
RL-26042,3
CAPAEZ/LA,3
GUERRERO/SECT,3
ARRIBA-LA,3
L.,3
DR.,3
GLORIA/SECT,3
GORDO/,3
R-079,3
BO.VALENCIANO,3
"HOYOS,",3
MONTES/MONTEREAL,3
CRUZ/SECT,3
HOYOS-SEC,3
HOYOS/SECTOR,3
RL-29039,3
B-5,3
SUR-SEC,3
SUR-SECT,3
/PARC,3
R-019,3
R-023,3
MAMEY/SECTOR,3
Alt.,3
NUEVO-SEC,3
URB.COLINAS,3
JAGUAS/SECT,3
LAJAS/VISTAS,3
ANTONIO/LA,3
ALEGRE/,3
R-007,3
R-065,3
"PINAS,",3
SRA.,3
15-12****,3
SAB.,3
R-009,3
COLLORES-SEC,3
R-086,3
*15-12*,3
BAIROA/,3
R-002,3
MAGUAYO/LOS,3
URB.VALLE,3
JAGUEY/,3
R-066,3
R-033,3
"MABU,",3
"SOL,",3
URB.LOS,3
NARANJO/,3
"VIEJO,",3
"ARRIBA,",3
VISTA/SECTOR,3
BO.MARIAS,3
"PASTO,",3
"BLANCO,",3
R-038,3
BO.NARANJO,3
VISTA/EL,3
RL-29049,3
CANABONCITO/LA,3
GRANDE-SECT,3
LIRIOS/QUEBRADA,3
CANABONCITO/,3
"PRIETA,",3
"PARK,",3
BO.VOLADORAS,3
R-025,3
POZAS/SECT,3
RABANAL-SECTOR,3
JARDIN/LOS,3
"MONTEBELLO,",3
BO.CUCHILLAS,3
LLANOS-,3
/RUTA,3
"ANTONIO,",3
R-016,3
RL-29046,3
ENT.POR,3
R-059,3
R-056,3
DAJAOS/SECTOR,3
R-053,3
"CALABAZAS,",3
VALLE/BO,3
TERRANOVA/SECT,3
H.,3
GRANDE/CAM,3
NARANJITO/LA,3
LECT.,3
TEJAS/SECT,3
5610-1,3
-SECTOR,3
R-042,3
R-008,3
SAURI-BO,2
"MARINA,",2
CAPA/,2
RL-29016,2
"CAIMITO,",2
/AL,2
"SEC.FDCO.DELGADO,BO.HATO",2
CAPA/SECT,2
PRADOS/EL,2
PUEBLO/MANSIONES,2
"CARRAIZO,CUPESOL",2
II/,2
COND.PORTALES,2
JOSE/VILLA,2
NARANJITO/SECT,2
ARENAS/LA,2
CASTRO/LOS,2
REPT.,2
CORCOVADA/SECT,2
CANAS/,2
"ALTO,MORCELO",2
CANABONCITO/HORMIGAS/TABONUCO,2
CANABONCITO/HORMIGAS/LOS,2
PUEBLO/HOTEL,2
II/PARC,2
ALTA/BO,2
BO.CUPEY,2
JOSE/ASOMANTE,2
PRADOS/SERENNA,2
BELLA/LOS,2
MONTEFIORI/TOMAS,2
COND.PARQUE,2
COM.LA,2
S.,2
COND.MALAGA,2
COND.PLAZA,2
TERRANOVA/,2
COND.TORRES,2
NUEVO/VALLE,2
COND.VILLAS,2
SABANA/,2
TERRANOVA/MARGINAL,2
"CENTRO,",2
BO.PADILLA,2
JOSE/,2
ANTONIO/MONTADERO,2
ANTONIO/CJN,2
2/SEC,2
LLANA/VILLA,2
SECT.EL,2
I-SECT,2
"PLAZA,",2
CACAO/,2
"TERRANOVA,",2
TERRANOVA/QUEBRADA,2
TERRANOVA/CALLE,2
MAR/BO,2
JOBOS/COM,2
JOBOS/SECTOR,2
PUNTAS/SECT,2
PUNTAS/CAMINO,2
H.NUEVO,2
ESPINOSA/URB,2
BEATRIZ-,2
SECTOR-,2
CUCHILLAS-CALLE,2
PERCHAS-SECTOR,2
